Netz;Leitungstyp;Querschnitt [mm^2];Spannung [kV];Überlagertes Netz;? Länge [km];0-5%;5-10%;10-15%;15-20%;20-25%;25-30%;30-35%;35-40%;40-45%;45-50%;50-55%;55-60%;60-65%;65-70%;70-75%;75-80%;80-85%;85-90%;90-95%;95-100%;100-105%;105-110%;110-114%;114-120%;>120%;Kein Ergebnis
303S160;NAYY-J 4X150 AL;150;0,4;300W100 UW Rankackerweg 30X_1;0,029;0,026;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NKBA 4X70;70;0,4;300W100 UW Rankackerweg 30X_1;1,086;0,135;0,015;0,213;0,239;0,116;0,101;0,037;0,102;0,128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NYCWY 3X95/95;95;0,4;300W100 UW Rankackerweg 30X_1;0,086;0,013;0;0,04;0,007;0,026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NKBA 4X10;10;0,4;300W100 UW Rankackerweg 30X_1;0,24;0;0;0,048;0;0;0,007;0,05;0,02;0,052;0,031;0,019;0,014;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NKBA 4X16;16;0,4;300W100 UW Rankackerweg 30X_1;0,367;0,024;0,135;0;0,017;0,057;0,065;0,028;0,015;0;0,026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NAYY-J 4X150 AL;150;0,4;300W100 UW Rankackerweg 30X_1;0,352;0,047;0,003;0,092;0,113;0;0,036;0,001;0,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NAYY 4X50 AL;50;0,4;300W100 UW Rankackerweg 30X_1;0,001;0;0;0;0;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NAYY-J 4X50 AL;50;0,4;300W100 UW Rankackerweg 30X_1;0,215;0;0,055;0,001;0,01;0,114;0,025;0,002;0,008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NYCY 4X35;35;0,4;300W100 UW Rankackerweg 30X_1;0,124;0,019;0,037;0,042;0,027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NYCWY 3X35/35;35;0,4;300W100 UW Rankackerweg 30X_1;0,187;0,041;0,019;0,012;0,04;0,048;0,026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NAYY-J 4X35 AL;35;0,4;300W100 UW Rankackerweg 30X_1;0,037;0;0;0;0;0;0,037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S165;NYCWY 3X10/10;10;0,4;300W100 UW Rankackerweg 30X_1;0,001;0;0;0;0;0;0;0;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
